                     성적표
   학번      국어  영어  수학  총점    평균    석차
==================================================
201764631    98    78    64   240    80.00     7
201802500    76    85    90   251    83.67     5
201864931    68    86    96   250    83.33     6
201902642    89    83    64   236    78.67     9
201946341    98    78    64   240    80.00     7
201966132    94    85    76   255    85.00     4
202046483    95    76    94   265    88.33     2
202046491    93    55    46   194    64.67    10
202102938    90    80    95   265    88.33     2
202118362   100    90    90   280    93.33     1
